date,symbol,company,indices,sector,beta_nifty,beta_sensex,beta_banknifty,alpha_annual,r_squared,volatility_annual,return_1yr,risk_category
2026-08-18,NTPC.NS,NTPC,"NIFTY 50, SENSEX 30",Power & Utilities,0.5405,0.4766,,0.0623,0.1375,0.1911,0.0314,Defensive / Low Beta (< 0.8)
2026-08-18,ONGC.NS,ONGC,NIFTY 50,"Oil, Gas & Consumable Fuels",0.0361,-0.0286,,0.0868,0.0004,0.2335,0.0566,Defensive / Low Beta (< 0.8)
2026-08-18,PNB.NS,PNB,Bank Nifty,Financial Services,1.3462,1.2914,1.1984,0.203,0.4159,0.2737,0.1261,High Volatility (> 1.2)
2026-08-18,POWERGRID.BO,POWERGRID,"NIFTY 50, SENSEX 30",Power & Utilities,0.434,0.3913,,-0.0179,0.0798,0.2014,-0.0457,Defensive / Low Beta (< 0.8)
2026-08-18,POWERGRID.NS,POWERGRID,"NIFTY 50, SENSEX 30",Power & Utilities,0.4517,0.3987,,-0.0198,0.0865,0.2013,-0.0479,Defensive / Low Beta (< 0.8)
2026-08-18,RELIANCE.BO,RELIANCE,"NIFTY 50, SENSEX 30","Oil, Gas & Consumable Fuels",0.0008,0.0006,,-0.0016,0.0039,0.0016,-0.0016,Defensive / Low Beta (< 0.8)
2026-08-18,RELIANCE.NS,RELIANCE,"NIFTY 50, SENSEX 30","Oil, Gas & Consumable Fuels",0.8984,0.899,,-0.0012,0.3344,0.2037,-0.0393,Market-Like (0.8 - 1.2)
2026-08-18,SBILIFE.NS,SBILIFE,NIFTY 50,Other / Diversified,0.8368,0.7845,,-0.0075,0.3074,0.1979,-0.043,Market-Like (0.8 - 1.2)
2026-08-18,SBIN.BO,SBIN,"NIFTY 50, Bank Nifty, SENSEX 30",Financial Services,-0.0054,-0.0044,-0.0014,0.0114,0.0039,0.0114,0.0114,Inverse Beta (< 0.0)
2026-08-18,SBIN.NS,SBIN,"NIFTY 50, Bank Nifty, SENSEX 30",Financial Services,1.0612,1.0316,0.9684,0.3649,0.3633,0.2308,0.2977,Market-Like (0.8 - 1.2)
2026-08-18,SHRIRAMFIN.NS,SHRIRAMFIN,NIFTY 50,Financial Services,1.9809,1.9133,,0.9885,0.5374,0.3543,0.7861,High Volatility (> 1.2)
2026-08-18,SUNPHARMA.BO,SUNPHARMA,"NIFTY 50, SENSEX 30",Healthcare / Pharma,0.0139,0.0113,,-0.0287,0.0039,0.0292,-0.0291,Defensive / Low Beta (< 0.8)
2026-08-18,SUNPHARMA.NS,SUNPHARMA,"NIFTY 50, SENSEX 30",Healthcare / Pharma,0.4847,0.4611,,0.1972,0.1106,0.191,0.1626,Defensive / Low Beta (< 0.8)
2026-08-18,TATACONSUM.NS,TATACONSUM,NIFTY 50,Fast Moving Consumer Goods,0.6064,0.5613,,0.0408,0.1184,0.231,0.001,Defensive / Low Beta (< 0.8)
2026-08-18,TATASTEEL.BO,TATASTEEL,"NIFTY 50, SENSEX 30",Metals & Mining,0.0026,0.0021,,-0.0054,0.0039,0.0054,-0.0054,Defensive / Low Beta (< 0.8)
2026-08-18,TATASTEEL.NS,TATASTEEL,"NIFTY 50, SENSEX 30",Metals & Mining,1.1494,1.0596,,0.269,0.3301,0.2623,0.1958,Market-Like (0.8 - 1.2)
2026-08-18,TCS.BO,TCS,"NIFTY 50, SENSEX 30",Information Technology,0.8532,0.8487,,-0.1779,0.1645,0.2758,-0.221,Market-Like (0.8 - 1.2)
2026-08-18,TCS.NS,TCS,"NIFTY 50, SENSEX 30",Information Technology,0.8677,0.8582,,-0.165,0.1648,0.2802,-0.21,Market-Like (0.8 - 1.2)
2026-08-18,TECHM.BO,TECHM,"NIFTY 50, SENSEX 30",Information Technology,-0.0055,-0.0045,,0.0116,0.0039,0.0116,0.0116,Inverse Beta (< 0.0)
2026-08-18,TECHM.NS,TECHM,"NIFTY 50, SENSEX 30",Information Technology,0.6157,0.6417,,0.1772,0.0863,0.2748,0.1183,Defensive / Low Beta (< 0.8)
2026-08-18,TITAN.BO,TITAN,"NIFTY 50, SENSEX 30",Consumer Durables,-0.0436,-0.0354,,0.0954,0.0039,0.0917,0.0913,Inverse Beta (< 0.0)
2026-08-18,TITAN.NS,TITAN,"NIFTY 50, SENSEX 30",Consumer Durables,1.0364,1.0099,,0.5003,0.3458,0.2311,0.4261,Market-Like (0.8 - 1.2)
2026-08-18,TMPV.NS,TMPV,NIFTY 50,Other / Diversified,1.5207,1.4655,,-0.4206,0.1547,0.507,-0.5185,High Volatility (> 1.2)
2026-08-18,TRENT.BO,TRENT,"NIFTY 50, SENSEX 30",Consumer Services / Retail,-0.0195,-0.0158,,0.0416,0.0039,0.041,0.0408,Inverse Beta (< 0.0)
2026-08-18,TRENT.NS,TRENT,"NIFTY 50, SENSEX 30",Consumer Services / Retail,1.2695,1.2598,,-0.3786,0.1263,0.4683,-0.4638,High Volatility (> 1.2)
2026-08-18,ULTRACEMCO.BO,ULTRACEMCO,"NIFTY 50, SENSEX 30",Construction Materials,1.2629,1.2152,,-0.0301,0.53,0.2274,-0.0785,High Volatility (> 1.2)
2026-08-18,ULTRACEMCO.NS,ULTRACEMCO,"NIFTY 50, SENSEX 30",Construction Materials,1.2637,1.2102,,-0.0313,0.5327,0.227,-0.0796,High Volatility (> 1.2)
2026-08-18,UNIONBANK.NS,UNIONBANK,Bank Nifty,Other / Diversified,1.4779,1.4235,1.3509,0.537,0.3528,0.3262,0.4103,High Volatility (> 1.2)
2026-08-18,WIPRO.NS,WIPRO,NIFTY 50,Information Technology,0.7338,0.7029,,-0.2091,0.1489,0.2493,-0.2435,Defensive / Low Beta (< 0.8)
2026-08-18,YESBANK.NS,YESBANK,Bank Nifty,Other / Diversified,1.1848,1.1313,0.9803,0.255,0.3186,0.2752,0.1781,Market-Like (0.8 - 1.2)
